Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,140211,União das freguesias de Alcanena e Vila Moreira
2,APU1403A,Almeirim
3,140301,Almeirim
2,APU1404A,Alpiarça
3,140401,Alpiarça
2,APU1405A,Benavente
3,140501,Benavente
3,140502,Samora Correia
2,APU1406A,Cartaxo e Vale da Pinta
3,140609,União das freguesias do Cartaxo e Vale da Pinta
2,APU1409A,"Coruche, Fajarda e Erra"
3,140909,"União das freguesias de Coruche, Fajarda e Erra"
2,APU1410A,Entroncamento
3,141001,São João Baptista
3,141002,Nossa Senhora de Fátima
2,APU1414A,Rio Maior
3,141408,Rio Maior
2,APU1415A,Salvaterra de Magos
3,141502,Marinhais
3,141508,União das freguesias de Salvaterra de Magos e Foros de Salvaterra
2,APU1416A,Santarém
3,141625,Vale de Santarém
3,141633,União de freguesias da cidade de Santarém
