Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
2,APU1418A,Tomar
3,141821,União das freguesias de Tomar (São João Baptista) e Santa Maria dos Olivais
2,APU1419A,Torres Novas
3,141910,Riachos
3,141917,Meia Via
3,141920,"União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago)"
3,141921,"União das freguesias de Torres Novas (São Pedro), Lapas e Ribeira Branca"
2,APU1421B,Fátima
2,APU1421A,Ourém
3,142106,Fátima
3,142115,Nossa Senhora da Piedade
2,APU1501A,Alcácer do Sal
3,150107,União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana
2,APU1502A,Alcochete
3,150201,Alcochete
3,150202,Samouco
3,150203,São Francisco
2,APU1503A,Almada
3,150303,Costa da Caparica
3,150312,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas"
3,150313,União das freguesias de Caparica e Trafaria
3,150314,União das freguesias de Charneca de Caparica e Sobreda
3,150315,União das freguesias de Laranjeiro e Feijó
2,APU1504A,Barreiro
3,150407,Santo António da Charneca
3,150409,"União das freguesias de Alto do Seixalinho, Santo André e Verderena"
3,150410,União das freguesias de Barreiro e Lavradio
3,150411,União das freguesias de Palhais e Coina
2,APU1505A,Grândola
3,150506,União das freguesias de Grândola e Santa Margarida da Serra
2,APU1506A,Moita
3,150601,Alhos Vedros
3,150603,Moita
